timestamp,portfolio_value
2025-03-14 10:15:00,10000.0
2025-03-14 10:20:00,10000.0
2025-03-14 10:25:00,10000.0
2025-03-14 10:30:00,10000.0
2025-03-14 10:35:00,10000.0
2025-03-14 10:40:00,10000.0
2025-03-14 10:45:00,10000.0
2025-03-14 10:50:00,10000.0
2025-03-14 10:55:00,10000.0
2025-03-14 11:00:00,10000.0
2025-03-14 11:05:00,10000.0
2025-03-14 11:10:00,10000.0
2025-03-14 11:15:00,10000.0
2025-03-14 11:20:00,10000.0
2025-03-14 11:25:00,10000.0
2025-03-14 11:30:00,10000.0
2025-03-14 11:35:00,10000.0
2025-03-14 11:40:00,10000.0
2025-03-14 11:45:00,10000.0
2025-03-14 11:50:00,10000.0
2025-03-14 11:55:00,10000.0
2025-03-14 12:00:00,10000.0
2025-03-14 12:05:00,10000.0
2025-03-14 12:10:00,10000.0
2025-03-14 12:15:00,10000.0
2025-03-14 12:20:00,10000.0
2025-03-14 12:25:00,10000.0
2025-03-14 12:30:00,10000.0
2025-03-14 12:35:00,10000.0
2025-03-14 12:40:00,10000.0
2025-03-14 12:45:00,10000.0
2025-03-14 12:50:00,10000.0
2025-03-14 12:55:00,10000.0
2025-03-14 13:00:00,10000.0
2025-03-14 13:05:00,10000.0
2025-03-14 13:10:00,10000.0
2025-03-14 13:15:00,10000.0
2025-03-14 13:20:00,10000.0
2025-03-14 13:25:00,10000.0
2025-03-14 13:30:00,10000.0
2025-03-14 13:35:00,10000.0
2025-03-14 13:40:00,10000.0
2025-03-14 13:45:00,10000.0
2025-03-14 13:50:00,10000.0
2025-03-14 13:55:00,10000.0
2025-03-14 14:00:00,10000.0
2025-03-14 14:05:00,10000.0
2025-03-14 14:10:00,10000.0
2025-03-14 14:15:00,10000.0
2025-03-14 14:20:00,10000.0
2025-03-14 14:25:00,10000.0
2025-03-14 14:30:00,10000.854795998344
2025-03-14 14:35:00,10001.599645409944
2025-03-14 14:40:00,10001.375106606032
2025-03-14 14:45:00,10001.110305671762
2025-03-14 14:50:00,10001.116499845662
2025-03-14 14:55:00,10001.791664800878
2025-03-14 15:00:00,10002.624781190567
2025-03-14 15:05:00,10003.436217971604
2025-03-14 15:10:00,10003.227164602444
2025-03-14 15:15:00,10004.589882860675
2025-03-14 15:20:00,10004.177970296256
2025-03-14 15:25:00,10004.527941121665
