type,price,position,capital,profit
buy,111526.94,0.08518121271864897,500.0,
close_long,111404.81,,9989.59681849067,-10.403181509328995
buy,111188.51,0.08535159772863345,499.47984092453356,
close_long,111292.46,,9998.469117074563,8.87229858389244
buy,111296.51,0.08534450596178474,499.92345585372817,
close_long,111051.88,,9977.591290581133,-20.877826493430554
buy,110994.33,0.08539816156421752,498.87956452905667,
close_long,109311.95,,9833.919131528724,-143.67215905240866
buy,108663.39,0.08597397131593526,491.69595657643623,
close_long,108986.06,,9861.660352853236,27.74122132451268
buy,109045.46,0.0859144189516058,493.08301764266184,
close_long,108222.46,,9790.952786056065,-70.70756679717158
buy,108181.79,0.08597939770411694,489.54763930280325,
close_long,108043.08,,9779.026583800527,-11.92620225553736
buy,107773.72,0.08619981990610048,488.9513291900264,
close_long,108831.29,,9870.188927338619,91.16234353809404
buy,108875.4,0.08612303129055496,493.50944636693094,
close_long,108842.46,,9867.352034687907,-2.8368926507098275
buy,108814.21,0.08614669382752042,493.36760173439535,
close_long,108913.48,,9875.903816984164,8.55178229625705
buy,108839.09,0.08620164525571608,493.7951908492082,
close_long,108835.58,,9875.601249209318,-0.30256777484711184
buy,108826.32,0.08620911914276667,493.7800624604659,
close_long,108031.14,,9807.049481849372,-68.55176735994586
buy,108088.93,0.08619473805279507,490.3524740924686,
close_long,107184.49,,9729.0915129649,-77.95796888446891
buy,107318.18,0.08612368321300878,486.45457564824505,
close_long,107067.41,,9707.494276925574,-21.59723603932531
buy,107019.82,0.08617207133294837,485.3747138462787,
close_long,107203.26,,9723.30168169089,15.807404765314995
buy,107274.71,0.08610730896039098,486.1650840845445,
close_long,107427.4,,9736.44940669605,13.147725005161046
buy,107446.26,0.08608607629861895,486.8224703348026,
close_long,109298.51,,9895.902341520168,159.45293482411694
buy,109316.61,0.08599889096857431,494.7951170760084,
close_long,109474.76,,9909.503066126848,13.600724606679528
buy,109499.68,0.08597310889694386,495.47515330634246,
close_long,109727.27,,9929.069685980705,19.566619853856405
buy,109748.89,0.08594725834294696,496.45348429903527,
close_long,109689.44,,9923.960121472217,-5.109564508487947
buy,109697.72,0.08594309996049695,496.1980060736109,
close_long,109574.46,,9913.366774971086,-10.593346501130405
buy,109595.65,0.08593131603510296,495.66833874855433,
close_long,109331.9,,9890.702390366825,-22.664384604258405
buy,109507.33,0.0858040029909275,494.5351195183413,
close_long,109199.69,,9864.305646886696,-26.396743480128887
buy,109192.91,0.08582141793402484,493.2152823443348,
close_long,109262.0,,9870.235048651757,5.929401765061477
buy,109253.33,0.08582551484901346,493.51175243258785,
close_long,108622.47,,9816.091164354108,-54.14388429764868
buy,108681.75,0.08580361105830926,490.8045582177054,
close_long,109634.32,,9897.825110139922,81.73394578581426
buy,109567.24,0.08581884379521584,494.8912555069961,
close_long,109535.21,,9895.07633257316,-2.7487775667606638
buy,109358.43,0.08595882837696649,494.75381662865806,
close_long,110057.44,,9955.162413196944,60.08608062378414
buy,110078.16,0.08591535589382213,497.75812065984724,
close_long,108900.01,,9853.941236650637,-101.22117654630729
buy,108905.47,0.08595752054344107,492.69706183253186,
close_long,108663.17,,9833.113729422961,-20.82750722767602
buy,108668.02,0.08596326723309959,491.6556864711481,
close_long,108653.9,,9831.899928089628,-1.2138013333322168
buy,108765.64,0.08587551116037331,491.59499640448144,
close_long,108737.99,,9829.525470206045,-2.374457883583822
buy,108747.02,0.08586947207101162,491.47627351030224,
close_long,108839.26,,9837.446070309874,7.920600103829312
buy,108956.52,0.0857734238097397,491.87230351549374,
close_long,107499.33,,9712.45789486856,-124.98817544131478
buy,107199.99,0.08607123004512529,485.622894743428,
close_long,107248.68,,9716.648703059456,4.190808190896099
buy,107297.03,0.0860304918776082,485.83243515297283,
close_long,108552.19,,9824.630735244555,107.982032185099
buy,108576.56,0.08596145612351622,491.23153676222773,
close_long,105951.11,,9598.943230265068,-225.6875049794854
buy,106047.62,0.08598963436191981,479.9471615132534,
close_long,106150.0,,9607.746849031042,8.80361876597375
buy,106135.51,0.0859972266264089,480.3873424515521,
close_long,105818.68,,9580.500347718995,-27.246501312045286
