type,price,position,capital,confidence,stop_loss,take_profit,reason,profit
buy,84343.22,0.003371827469401047,9720.078849414103,0.6269418822743169,84203.46285714286,84622.73428571428,signal,
close_long,84266.26,,10004.210139625795,0.6150232312362458,,,signal,-0.25949584204512616
buy,84223.19,0.003445191783093715,9714.045097491855,0.64448287594125,84104.68642857143,84460.19714285714,signal,
trailing_stop,84182.02,,10004.068301080086,0.0,,,trailing_stop,-0.14183854570996224
buy,84201.86,0.0034429373206588667,9714.166574817193,0.6455295300581911,84062.9725,84479.63500000001,signal,
trailing_stop,84070.67,,10003.616622132988,0.0,,,trailing_stop,-0.45167894709724477
buy,84090.91,0.003341071662525819,9722.662865655979,0.6171837134196363,83932.2957142857,84408.13857142859,signal,
trailing_stop,83959.12,,10003.176302298583,0.6024716540379615,,,trailing_stop,-0.44031983440430494
buy,83926.28,0.003326224429923133,9724.018659450014,0.6167194393324211,83707.3907142857,84364.05857142858,signal,
trailing_stop,83721.66,,10002.495690255731,0.6051525554156898,,,trailing_stop,-0.680612042850856
buy,83748.61,0.003290970217477213,9726.881508990617,0.6061655738300988,83514.45464285713,84216.92071428572,signal,
trailing_stop,83770.08,,10002.5663473863,0.0,,,trailing_stop,0.0706571305692396
buy,83840.38,0.0034576213194301452,9712.678062069175,0.6515207923299626,83640.2425,84240.65500000001,signal,
trailing_stop,84010.73,,10003.155353178065,0.7626865798870566,,,trailing_stop,0.5890057917648951
buy,84120.66,0.00403983588213288,9663.321692481364,0.8225844703241231,83906.92071428572,84548.13857142857,signal,
trailing_stop,84234.18,,10003.613955347404,0.6367039818935872,,,trailing_stop,0.45860216933968223
buy,84302.6,0.0035788244705757827,9701.909747534242,0.6948951802193097,84067.79464285714,84772.21071428573,signal,
trailing_stop,84167.7,,10003.131171926323,0.6877861869155847,,,trailing_stop,-0.4827834210807043
buy,84177.01,0.0035160737841283124,9707.158593839016,0.676408742055903,83932.37964285714,84666.27071428571,signal,
trailing_stop,84302.71,,10003.573142400988,0.7031264085798111,,,trailing_stop,0.4419704746649698
buy,84211.77,0.0032849519684127475,9726.941522775967,0.6042947360760267,84033.80392857143,84567.70214285715,signal,
close_long,84147.36,,10003.361558644703,0.6149151908541377,,,signal,-0.21158375628547654
buy,84225.3,0.003275114826885608,9727.514029815815,0.601518328071841,84048.83928571429,84578.22142857143,signal,
close_long,84405.33,,10003.951177566987,0.7407184025639124,,,signal,0.5896189222842122
buy,84399.0,0.003955986056446452,9670.069910388964,0.7934523844869346,84265.22678571429,84666.54642857143,signal,
trailing_stop,84272.72,,10003.45161564778,0.7126502209762212,,,trailing_stop,-0.49956191920805343
buy,84283.01,0.003420353381939982,9715.173937354199,0.6381558904042812,84164.85642857142,84519.31714285714,signal,
trailing_stop,84332.29,,10003.620170662442,0.6960404071673816,,,trailing_stop,0.16855501466199832
buy,84326.81,0.0036321451840145846,9697.33295383763,0.7011200201833264,84185.52428571427,84609.38142857143,signal,
trailing_stop,84285.27,,10003.4692913515,0.6916835639100102,,,trailing_stop,-0.15087931094394258
buy,84357.0,0.003477037932327208,9710.156802494173,0.6556509853619856,84233.15892857143,84604.68214285714,signal,
close_long,84305.08,,10003.288763542054,0.616915720017231,,,signal,-0.18052780944642258
buy,84295.8,0.003346478687086507,9721.194665431147,0.6188023595608558,84161.54821428572,84564.30357142857,signal,
trailing_stop,84166.24,,10002.855193763355,0.6001113052578397,,,trailing_stop,-0.43356977869892005
buy,84212.87,0.0033424658597885925,9721.37655083354,0.6167502250286143,84078.92535714287,84480.75928571426,signal,
trailing_stop,83968.88,,10002.039665518225,0.5986573042553676,,,trailing_stop,-0.8155282451297876
buy,84007.38,0.0033261260654659083,9722.620529208725,0.6159707119757922,83807.19785714286,84407.74428571429,signal,
trailing_stop,83869.31,,10001.580427292365,0.6004790356420509,,,trailing_stop,-0.4592382258589012
buy,83841.81,0.0033776216840040595,9718.394511810216,0.6367995211455746,83557.38142857143,84410.66714285714,signal,
close_long,84120.0,,10002.520047868638,0.7573535560331832,,,signal,0.9396205762730971
buy,84280.65,0.0037405161808299016,9687.266912812776,0.7338653325093153,84116.5857142857,84608.77857142857,signal,
trailing_stop,84298.93,,10002.588424504424,0.7128812208335541,,,trailing_stop,0.06837663578556624
buy,84299.58,0.0036969220091834826,9690.9394518375,0.7154341354387074,84197.03178571428,84504.67642857143,signal,
trailing_stop,84224.4,,10002.310489907773,0.0,,,trailing_stop,-0.2779345966504422
buy,84045.51,0.003442652424484756,9712.971011139216,0.6430115853221356,83915.28142857143,84305.96714285715,signal,
take_profit,84314.81,,10003.237596205687,0.7725745447347043,,,take_profit,0.9271062979137548
buy,84343.25,0.003912736187901285,9673.224709725482,0.7860021563410635,84158.18214285714,84713.38571428573,signal,
trailing_stop,84181.91,,10002.60631534913,0.6565927413255899,,,trailing_stop,-0.6312808565559797
buy,84229.11,0.0037810281502715193,9684.133679366814,0.7481242214785093,84032.85285714285,84621.6242857143,signal,
trailing_stop,84114.4,,10002.172593610012,0.0,,,trailing_stop,-0.4337217391176702
buy,84019.74,0.0034150496224287933,9715.241012246446,0.6386755679944993,83849.25964285714,84360.70071428572,signal,
trailing_stop,83813.84,,10001.469434892753,0.6238771830417491,,,trailing_stop,-0.7031587172581184
buy,84047.35,0.0034607283614966175,9710.60438703912,0.6601332897262602,83792.92678571428,84556.19642857145,signal,
trailing_stop,83816.07,,10000.669037637306,0.6654852674874228,,,trailing_stop,-0.8003972554469336
buy,83763.99,0.0033128510865570804,9723.17141235145,0.6171117124892154,83482.90785714285,84326.1542857143,signal,
trailing_stop,83336.72,,9999.253555753554,0.6066203061836519,,,trailing_stop,-1.4154818837532572
buy,82485.84,0.0034142466311398905,9717.626554416809,0.6600142488760568,81919.92571428571,83617.66857142858,signal,
trailing_stop,82597.18,,9999.633697973464,0.6944276036292303,,,trailing_stop,0.3801422199111035
buy,82545.45,0.0033534848509714876,9722.81878188184,0.6341342877437486,82068.53214285713,83499.28571428572,signal,
take_profit,84587.11,,10006.4803738543,0.746387245500169,,,take_profit,6.846675880834459
buy,84149.15,0.0036346503767341687,9700.62763410494,0.76261145042804,83409.2,85629.05,signal,
trailing_stop,83668.76,,10004.734324159821,0.6222067065102798,,,trailing_stop,-1.7460496944793251
buy,83634.53,0.0030946065779592115,9745.918357477294,0.6275441158751435,82562.13714285714,85779.31571428571,signal,
trailing_stop,83691.29,,10004.909974029186,0.6316553506776862,,,trailing_stop,0.17564986936494864
buy,83701.75,0.0033982500817678852,9720.470495247571,0.6513164677597619,83308.76964285714,84487.71071428573,signal,
trailing_stop,83209.45,,10003.237015513932,0.0,,,trailing_stop,-1.6729585152543398
buy,83279.76,0.0035995023402915763,9703.47132449501,0.7296558220523357,82652.08499999999,84535.11,signal,
trailing_stop,82965.7,,10002.10655580894,0.0,,,trailing_stop,-1.130459704991964
buy,82958.27,0.0032893744426193013,9729.225742667028,0.6085964042416336,82600.27,83674.27,signal,
trailing_stop,82404.05,,10000.28351870535,0.5734172801530997,,,trailing_stop,-1.823037103588473
buy,82458.68,0.00324890633166905,9732.382991152277,0.6014892422861111,81997.28535714284,83381.46928571428,signal,
trailing_stop,82069.72,,9999.019824098583,0.5774950783439889,,,trailing_stop,-1.2636946067659673
buy,82409.1,0.003659103976360209,9697.476358600317,0.7228385685114862,81912.38035714286,83402.5392857143,signal,
close_long,83005.48,,10001.202040528005,0.7451763300742147,,,signal,2.1822164294216653
buy,82880.82,0.003885517011242904,9679.167204512245,0.7775156030416653,82530.81821428573,83580.82357142857,signal,
take_profit,83645.09,,10004.17162461419,0.8478647922076393,,,take_profit,2.9695840861825733
buy,83672.79,0.003895644950133452,9678.212142787113,0.7823435887023821,83395.31499999999,84227.74,signal,
trailing_stop,83442.73,,10003.275392536962,0.6970021924491001,,,trailing_stop,-0.8962320772276929
buy,83466.2,0.003568608161842398,9705.417229978992,0.6872145279682769,83179.82321428572,84038.95357142857,signal,
trailing_stop,83219.21,,10002.393982007068,0.0,,,trailing_stop,-0.8814105298934206
buy,83192.36,0.00343824395138836,9716.358353435346,0.6465447165048935,82909.49035714286,83758.09928571428,signal,
trailing_stop,82912.59,,10001.432064496788,0.5999443252458201,,,trailing_stop,-0.9619175102799356
buy,83266.34,0.0038704599299644008,9679.153032011996,0.7785557392838498,82912.69,83973.64,signal,
close_long,83567.87,,10002.59912427947,0.7412722009059363,,,signal,1.1670597826821612
buy,83486.99,0.0038141284298011317,9684.169022201948,0.761409044127141,83166.83821428572,84127.29357142857,signal,
trailing_stop,83502.36,,10002.657747433437,0.650275683655665,,,trailing_stop,0.05862315396602563
buy,83386.68,0.0035530026808645,9706.384649845048,0.679761504109556,83121.43714285713,83917.16571428571,signal,
trailing_stop,83271.77,,10002.24947189538,0.7115014154572538,,,trailing_stop,-0.4082755380581004
buy,83344.34,0.0033024913521157236,9727.005509797587,0.6072796949476302,83085.83642857143,83861.34714285712,signal,
trailing_stop,83420.62,,10002.501385935719,0.6813724937000905,,,trailing_stop,0.2519140403393835
buy,83358.5,0.0032712497461865253,9729.81491396823,0.611873975901055,82956.35357142857,84162.79285714286,signal,
trailing_stop,83086.91,,10001.612947217152,0.0,,,trailing_stop,-0.888438718566787
buy,83122.64,0.0031253781284052463,9741.82326618585,0.6000101340772344,82371.00964285714,84625.90071428572,signal,
trailing_stop,83019.52,,10001.29065822455,0.6711468449436921,,,trailing_stop,-0.32228899260113447
buy,83169.7,0.0032651141703005943,9729.732092214901,0.6383326101217826,82457.25535714286,84594.58928571428,signal,
close_long,82835.52,,10000.19952237112,0.619955555837159,,,signal,-1.0911358534310298
buy,83180.8,0.003434016918189159,9714.555247902612,0.703018059923008,82335.8017857143,84870.79642857141,signal,
trailing_stop,83239.32,,10000.400481041173,0.6603544193579836,,,trailing_stop,0.20095867005244358
buy,83299.37,0.0033184724910602244,9723.973813173527,0.6328952128976997,82816.12357142856,84265.86285714286,signal,
take_profit,84280.88,,10003.657594975875,0.0,,,take_profit,3.257113934700552
buy,84255.01,0.00385344099379902,9678.98588550893,0.7953172746506292,83818.2332142857,85128.56357142857,signal,
trailing_stop,84250.0,,10003.638289236496,0.683486364250497,,,trailing_stop,-0.019305739378912903
