type,price,position,capital,stop_loss,take_profit,reason,profit
buy,96754.49,0.07381715312285361,3571.0705018268036,93851.8553,102559.75940000001,signal,
close_long,97266.0,,10750.969717474283,,,signal,37.75821199387047
buy,96970.0,0.07391268583049249,3583.656572491427,94060.9,102788.20000000001,signal,
close_long,96932.3,,10748.183209218474,,,signal,-2.7865082558093515
buy,96688.73,0.07410848681963572,3582.7277364061574,93788.06809999999,102490.0538,signal,
close_long,96543.59,,10737.427103441472,,,signal,-10.756105777001885
buy,96460.0,0.0742098770021527,3579.1423678138226,93566.2,102247.6,signal,
close_long,96337.5,,10728.336393508709,,,signal,-9.090709932763707
buy,96375.28,0.07421222809769415,3576.112131169568,93484.0216,102157.79680000001,signal,
close_long,96194.82,,10714.9440548262,,,signal,-13.392338682509282
buy,96232.57,0.0742295050059538,3571.6480182753994,93345.5929,102006.52420000001,signal,
close_long,96179.32,,10710.991333684633,,,signal,-3.9527211415670394
buy,96353.38,0.07410908562961765,3570.330444561543,93462.7786,102134.5828,signal,
close_long,96281.0,,10705.627318066761,,,signal,-5.364015617872071
buy,96335.23,0.07408592763738847,3568.542439355587,93445.1731,102115.3438,signal,
close_long,96250.04,,10699.315937891333,,,signal,-6.311380175429297
buy,96328.48,0.07404743946886275,3566.438645963778,93438.6256,102108.1888,signal,
close_long,96266.53,,10694.728699016237,,,signal,-4.5872388750958315
buy,96337.13,0.07400904648786498,3564.909566338745,93447.01610000001,102117.35780000001,signal,
close_long,95896.5,,10662.118092862289,,,signal,-32.61060615394829
buy,95985.61,0.07405358708013482,3554.0393642874296,93106.0417,101744.7466,signal,
close_long,95911.0,,10656.59295473024,,,signal,-5.525138132048902
buy,95925.74,0.07406140732564058,3552.1976515767465,93047.9678,101681.2844,signal,
close_long,96153.53,,10673.463402704947,,,signal,16.870447974707194
buy,96123.91,0.07402572646566255,3557.8211342349814,93240.1927,101891.34460000001,signal,
close_long,95980.01,,10662.811100666539,,,signal,-10.652302038409488
buy,96071.42,0.07399225215758957,3554.2703668888444,93189.27739999999,101835.7052,signal,
close_long,96200.01,,10672.325764371482,,,signal,9.514663704944185
buy,95929.52,0.07416782490847783,3557.44192145716,93051.6344,101685.2912,signal,
close_long,95786.23,,10661.698256740347,,,signal,-10.627507631136393
buy,95872.18,0.07413828326243231,3553.899418913449,92996.0146,101624.5108,signal,
close_long,95690.49,,10648.228072054397,,,signal,-13.47018468595042
buy,95991.6,0.07395249912182869,3549.4093573514656,93111.852,101751.096,signal,
close_long,95800.01,,10634.059512747644,,,signal,-14.168559306751977
buy,95678.67,0.07409564753041017,3544.6865042492145,92808.3099,101419.39020000001,signal,
close_long,95514.74,,10621.913013247984,,,signal,-12.146499499659623
buy,95511.1,0.07414086260304115,3540.6376710826607,92645.767,101241.76600000002,signal,
close_long,95442.79,,10616.84845092357,,,signal,-5.064562324414647
buy,95478.0,0.07413120265697208,3538.9494836411895,92613.66,101206.68000000001,signal,
close_long,95300.0,,10603.653096850629,,,signal,-13.195354072941031
buy,95442.48,0.07406662174502471,3534.5510322835435,92579.20559999999,101169.0288,signal,
close_long,95382.26,,10599.192804889142,,,signal,-4.460291961485474
buy,95474.05,0.0740109855672066,3533.0642682963808,92609.8285,101202.493,signal,
close_long,95446.58,,10597.159723115612,,,signal,-2.0330817735312516
buy,95530.98,0.07395269208735995,3532.3865743718707,92665.05059999999,101262.8388,signal,
close_long,95450.03,,10591.17325269114,,,signal,-5.986470424471573
buy,95479.98,0.07395039429690665,3530.3910842303785,92615.58059999999,101208.7788,signal,
close_long,95405.79,,10585.686872938251,,,signal,-5.486379752887677
buy,95436.08,0.07394608602908706,3528.5622909794165,92572.9976,101162.2448,signal,
close_long,94794.25,,10538.226056542202,,,signal,-47.460816396049076
