type,price,position,capital,confidence,stop_loss,take_profit,reason,profit
trailing_stop,1909.03,,9996.930607961074,0.6608487204930518,,,trailing_stop,1.6127906112347596
buy,1906.39,0.15075085613618786,9709.540683331606,0.6660725607015088,1896.5792857142858,1926.011428571429,signal,
trailing_stop,1906.5,,9996.94719055525,0.6568154867235096,,,trailing_stop,0.016582594174965583
buy,1908.28,0.14206333400442772,9725.85057154128,0.6441233508212929,1890.337142857143,1944.165714285714,signal,
trailing_stop,1894.3,,9994.961145145866,0.0,,,trailing_stop,-1.9860454093819022
buy,1900.5,0.1367339861001904,9735.098204562453,0.6134870340327232,1880.3839285714284,1940.732142857143,signal,
close_long,1912.29,,9996.573238841986,0.6994530685745699,,,signal,1.61209369612124
buy,1910.19,0.15701552008664127,9696.643762527685,0.7459313376610286,1892.6775,1945.2150000000001,signal,
trailing_stop,1910.09,,9996.557537289977,0.6561279142712736,,,trailing_stop,-0.01570155200868555
buy,1912.28,0.14338412309780565,9722.366946372505,0.6281403995459456,1900.547857142857,1935.7442857142855,signal,
close_long,1933.33,,9999.575773081186,0.8096452529767587,,,signal,3.0182357912088027
buy,1930.65,0.16438305118630858,9682.20963530834,0.7722683396551774,1920.244642857143,1951.4607142857144,signal,
trailing_stop,1938.12,,10000.803714473548,0.0,,,trailing_stop,1.2279413923616922
buy,1937.58,0.14537160790092937,9719.134594436866,0.6405725761593353,1928.855,1955.03,signal,
trailing_stop,1935.33,,10000.476628355771,0.0,,,trailing_stop,-0.32708611777709107
buy,1935.33,0.14745634803753174,9715.099934308295,0.6426450949208531,1929.1907142857144,1947.6085714285712,signal,
close_long,1932.21,,10000.016564549895,0.6128340455332753,,,signal,-0.46006380587708295
buy,1926.31,0.14310827402049578,9724.345665221474,0.6148776464440764,1918.8671428571427,1941.1957142857145,signal,
trailing_stop,1921.99,,9999.398336806127,0.6286210287276055,,,trailing_stop,-0.6182277437685326
buy,1922.17,0.14409775151282145,9722.417961780728,0.6211679429435348,1914.3217857142859,1937.8664285714287,signal,
trailing_stop,1912.81,,9998.049581851968,0.5851731109254239,,,trailing_stop,-1.348754954160027
buy,1910.58,0.14815478747659053,9714.988007994943,0.6591447454255368,1898.847857142857,1934.0442857142855,signal,
trailing_stop,1905.48,,9997.293992435838,0.6819032131227896,,,trailing_stop,-0.7555894161305983
buy,1905.79,0.15386146486674948,9704.066351307436,0.6891719235169844,1895.3489285714286,1926.6721428571427,signal,
trailing_stop,1902.74,,9996.824714967996,0.6241364342520372,,,trailing_stop,-0.46927746784357893
buy,1897.87,0.14686011442241362,9718.103309609129,0.6261201030540349,1890.4307142857142,1912.7485714285715,signal,
trailing_stop,1901.26,,9997.322570755887,0.6873719672145951,,,trailing_stop,0.49785578789199686
buy,1902.52,0.15251703561309995,9707.155860161252,0.6663352992054444,1894.8628571428571,1917.8342857142857,signal,
trailing_stop,1888.38,,9995.165979872318,0.0,,,trailing_stop,-2.156590883569214
buy,1890.39,0.14379738492490682,9723.332841384123,0.6109652336670144,1880.9435714285717,1909.2828571428572,signal,
trailing_stop,1885.89,,9994.518891640155,0.6071393685904463,,,trailing_stop,-0.6470882321620807
buy,1887.37,0.1414394212110342,9727.570371229085,0.6282605432273538,1869.8825,1922.345,signal,
trailing_stop,1883.0,,9993.900801369462,0.63315635123779,,,trailing_stop,-0.618090270692204
buy,1882.88,0.14042815692059188,9729.491433266818,0.6014496744731845,1869.5657142857144,1909.5085714285715,signal,
close_long,1879.71,,9993.455644112024,0.6238475044143859,,,signal,-0.4451572574382865
buy,1886.01,0.14397754741349386,9721.912549914701,0.6353188973990431,1870.6975,1916.635,signal,
trailing_stop,1874.74,,9991.833017152674,0.0,,,trailing_stop,-1.6226269593500733
buy,1882.58,0.16142821605080843,9687.931486179743,0.7361999757084665,1870.3246428571429,1907.090714285714,signal,
close_long,1890.35,,9993.087314391389,0.7164708060919742,,,signal,1.2542972387147786
buy,1904.54,0.16125306462568417,9685.974402689188,0.738368139198347,1894.0364285714284,1925.547142857143,signal,
take_profit,1926.6,,9996.644556997031,0.0,,,take_profit,3.557242605642584
buy,1928.23,0.15880002742968533,9690.44158010629,0.7303018350455649,1918.572857142857,1947.544285714286,signal,
trailing_stop,1931.4,,9997.147953083984,0.0,,,trailing_stop,0.503396086952114
buy,1930.11,0.14456856680809682,9718.11471660201,0.6360752384079759,1920.3957142857141,1949.5385714285715,signal,
trailing_stop,1932.83,,9997.541179585704,0.6771218915084731,,,trailing_stop,0.3932265017180273
buy,1932.16,0.1411107200212671,9724.892690789413,0.6071847029062842,1924.079642857143,1948.3207142857143,signal,
trailing_stop,1936.43,,9998.143722360195,0.7123572336648312,,,trailing_stop,0.602542774490808
buy,1935.4,0.15029689213192882,9707.25911732806,0.663237740860508,1928.9,1948.4,signal,
trailing_stop,1933.34,,9997.834110762404,0.6569613337277508,,,trailing_stop,-0.3096115977917993
buy,1932.7,0.15080121797972568,9706.380596772988,0.6650060120573559,1926.2589285714287,1945.582142857143,signal,
take_profit,1946.81,,9999.961915948097,0.8232830186322873,,,take_profit,2.1278051856939144
buy,1943.63,0.16396051591382307,9681.283338402513,0.7641761085322631,1935.8282142857145,1959.2335714285716,signal,
take_profit,1982.88,,10006.397366197714,0.0,,,take_profit,6.435450249617555
buy,1969.39,0.1564945601155059,9698.198544451838,0.7727292602090433,1951.7203571428572,2004.7292857142859,signal,
take_profit,2009.14,,10012.618024962305,0.0,,,take_profit,6.220658764591359
buy,2028.24,0.14359790926245614,9721.36700147982,0.76188847846487,1999.1632142857143,2086.3935714285712,signal,
trailing_stop,2009.75,,10009.962899620043,0.6989010313650571,,,trailing_stop,-2.6551253422628154
buy,2009.71,0.13135590611183354,9745.97562154803,0.6280707165620869,1988.1992857142857,2052.7314285714288,signal,
trailing_stop,2029.29,,10012.534848261714,0.6830140872188252,,,trailing_stop,2.571948641669691
buy,2026.42,0.14355609738597094,9721.629901396835,0.6932193786546931,2012.0878571428573,2055.0842857142857,signal,
trailing_stop,2043.74,,10015.021239868438,0.6226831177997327,,,trailing_stop,2.486391606725008
buy,2046.7,0.14066533241778098,9727.121504008966,0.6755376714914634,2033.857142857143,2072.385714285714,signal,
trailing_stop,2048.4,,10015.260370933549,0.6319991565979366,,,trailing_stop,0.23913106511023408
buy,2047.82,0.13391115586696425,9741.034427726063,0.6436217752630146,2030.9824999999996,2081.4950000000003,signal,
trailing_stop,2031.1,,10013.021376407454,0.0,,,trailing_stop,-2.238994526095646
buy,2034.86,0.13040184342233485,9747.671881301081,0.6079846214938003,2019.195714285714,2066.188571428572,signal,
trailing_stop,2027.0,,10011.996417918153,0.5893710457103021,,,trailing_stop,-1.024958489299539
buy,2025.25,0.1367373595880929,9735.069080412368,0.637484527083698,2012.5160714285712,2050.7178571428576,signal,
trailing_stop,2022.01,,10011.553388873088,0.6444524965936205,,,trailing_stop,-0.4430290450654223
buy,2022.75,0.13849536327092643,9731.411892816821,0.6320666486038213,2014.1928571428573,2039.8642857142854,signal,
close_long,2020.6,,10011.255623842055,0.6310606082559478,,,signal,-0.2977650310325044
buy,2021.2,0.13579261182408536,9736.791596823214,0.6126172579145057,2012.626785714286,2038.3464285714285,signal,
close_long,2017.18,,10010.709737542522,0.6503099334762787,,,signal,-0.5458862995328206
buy,2016.75,0.13616762594071322,9736.093677926588,0.6095051408162289,2009.1482142857144,2031.9535714285714,signal,
trailing_stop,2013.4,,10010.25357599562,0.0,,,trailing_stop,-0.4561615469013769
buy,2011.86,0.13588842256378778,9736.865094176439,0.6054454596477072,2004.2475,2027.085,signal,
close_long,2009.13,,10009.882600602023,0.6407153183866461,,,signal,-0.3709753935991122
buy,2009.47,0.13807579661755814,9732.423429572938,0.621636720072291,2001.3110714285715,2025.787857142857,signal,
trailing_stop,2011.84,,10010.209840240006,0.7307855981496516,,,trailing_stop,0.32723963798359773
buy,2006.8,0.14153194626595594,9726.183530473485,0.6441363938976234,1998.669642857143,2023.060714285714,signal,
trailing_stop,2002.43,,10009.591345634823,0.6150230090115434,,,trailing_stop,-0.618494605182212
buy,1987.06,0.1399322102116033,9731.537648011754,0.6542003144182584,1971.5725,2018.0349999999999,signal,
trailing_stop,1988.16,,10009.745271066055,0.6198533721086987,,,trailing_stop,0.1539254312327827
buy,1994.57,0.1449531142465299,9720.626137983354,0.6694420442123301,1984.6289285714286,2014.452142857143,signal,
trailing_stop,1984.0,,10008.213116648469,0.670888711087506,,,trailing_stop,-1.5321544175858117
buy,1985.98,0.137953380086823,9734.24046286364,0.6299794837762895,1972.8835714285715,2012.172857142857,signal,
trailing_stop,1986.1,,10008.22967105408,0.6179927159542062,,,trailing_stop,0.016554405610403704
buy,1981.67,0.135760950906491,9739.196267471214,0.6514162153285071,1959.3557142857142,2026.298571428572,signal,
trailing_stop,1967.71,,10006.334448179425,0.5555889245338845,,,trailing_stop,-1.8952228746546196
buy,1963.53,0.13256952694335414,9746.03020494034,0.6057493695710423,1944.724642857143,2001.140714285714,signal,
trailing_stop,1967.81,,10006.90184575474,0.700882875495098,,,trailing_stop,0.5673975753175521
buy,1971.22,0.1547951750664973,9701.76650076016,0.7302719579732933,1960.287857142857,1993.084285714286,signal,
trailing_stop,1977.27,,10007.838356563894,0.5616322066687088,,,trailing_stop,0.9365108091523016
buy,1976.54,0.1416434094888415,9727.87449197282,0.6285062028604762,1968.9989285714287,1991.6221428571428,signal,
trailing_stop,1973.9,,10007.464417962843,0.6765443272576167,,,trailing_stop,-0.3739386010505235
